iter	RMSE
0	1371.154622
1	1336.875756
2	1306.272556
3	1266.808267
4	1235.13806
5	1198.091255
6	1158.671541
7	1129.704752
8	1090.042465
9	1057.918454
10	1021.364799
11	991.7202062
12	966.9272006
13	942.7540203
14	919.1851694
15	891.7688211
16	869.4746002
17	847.7377349
18	821.5424073
19	801.0038468
20	780.9787503
21	761.8473826
22	742.8011977
23	717.9995929
24	696.7723047
25	679.3529968
26	662.7119621
27	643.3256192
28	627.2424785
29	611.5614163
30	596.2723807
31	581.3655709
32	567.1122237
33	552.9344179
34	539.1110572
35	525.6332806
36	512.5327133
37	499.7193953
38	487.2264102
39	475.0457498
40	463.1696058
41	451.5903655
42	440.3006062
43	429.2930909
44	418.5607635
45	408.0967442
46	397.8943255
47	387.9469672
48	378.2482928
49	368.7920854
50	359.5722831
51	350.5829759
52	341.8184014
53	333.2729412
54	324.9411176
55	316.8175895
56	308.8971496
57	301.1747208
58	293.6453527
59	286.3042187
60	279.1466132
61	272.1679477
62	265.3637489
63	258.7296551
64	252.2614136
65	245.9548782
66	239.8060061
67	233.8108559
68	227.9655844
69	222.2664447
70	216.7097835
71	211.2920389
72	206.0097378
73	200.8594943
74	195.8380069
75	190.9420566
76	186.1685051
77	181.5142924
78	176.976435
79	172.5520241
80	168.2382234
81	164.0322678
82	159.931461
83	155.9331744
84	152.034845
85	148.2339738
86	144.5281244
87	140.9149213
88	137.3920482
89	133.9572469
90	130.6083157
91	127.3431078
92	124.15953
93	121.0555417
94	118.0291531
95	115.0784243
96	112.2014636
97	109.396427
98	106.6615163
99	103.9949783
