iter	Passed	Remaining
0	142	14147
1	143	7037
2	144	4664
3	144	3477
4	145	2771
5	146	2294
6	146	1951
7	147	1698
8	148	1498
9	148	1338
10	149	1207
11	150	1103
12	151	1011
13	151	932
14	152	866
15	153	806
16	155	757
17	156	710
18	156	667
19	157	628
20	157	594
21	158	562
22	159	534
23	160	507
24	160	482
25	161	460
26	162	438
27	162	418
28	163	399
29	164	383
30	165	367
31	166	352
32	166	338
33	167	325
34	168	312
35	169	301
36	170	289
37	171	279
38	171	268
39	172	258
40	172	248
41	173	239
42	174	231
43	175	223
44	176	215
45	176	207
46	177	200
47	178	193
48	179	186
49	179	179
50	180	173
51	181	167
52	182	161
53	182	155
54	183	150
55	184	144
56	185	139
57	186	134
58	186	129
59	187	124
60	188	120
61	188	115
62	189	111
63	190	107
64	191	102
65	191	98
66	192	94
67	193	90
68	193	86
69	194	83
70	194	79
71	195	75
72	196	72
73	196	69
74	197	65
75	198	62
76	198	59
77	199	56
78	200	53
79	200	50
80	201	47
81	202	44
82	202	41
83	203	38
84	204	36
85	204	33
86	206	30
87	206	28
88	207	25
89	208	23
90	208	20
91	209	18
92	210	15
93	211	13
94	211	11
95	212	8
96	213	6
97	213	4
98	214	2
99	215	0
